Name	Latitude			Longitude		
OBTYV	N40	39	50.0	E116	38	15.0
OC	N38	27	12.0	E114	33	18.0
OCEAN	N21	48	43.0	E114	48	48.0
OCJB	N38	46	56.6	E115	28	5.7
OCORO	N10	25	36.0	E121	24	24.0
OD	N34	36	0.0	E108	55	6.0
OF	N32	40	24.0	E118	34	42.0
OGOMO	N30	49	0.0	E104	55	48.0
OJ	N24	51	44.0	E118	37	50.0
OKADA	N01	34	0.0	E112	38	0.0
OKTON	N39	08	46.0	E116	54	6.0
OKVUM	N36	28	42.0	E110	30	36.0
OLKIT	N04	50	12.0	E111	51	18.0
OMBAR	N21	57	12.0	E109	09	18.0
OMBON	N33	21	24.0	E104	16	18.0
OMLIP	N27	42	36.0	E104	17	12.0
ONEMI	N25	45	6.0	E110	36	30.0
OR	N40	07	19.0	E116	35	20.0
OSCAR	N21	51	2.0	E114	14	25.0
OSH	N40	36	30.0	E072	47	36.0
OSIKA	N22	52	0.0	E110	32	42.0
OT	N03	19	30.0	E117	34	12.0
OTABO	N44	27	0.0	E123	55	36.0
OU	N36	12	0.0	E113	07	0.0
OX	N23	53	57.0	E106	38	55.0
OY	N43	52	48.0	E087	22	0.0
P01	N22	09	30.0	E111	27	30.0
P02	N35	01	18.0	E118	56	0.0
P03	N22	45	36.0	E114	31	54.0
P04	N27	04	30.0	E102	29	42.0
P05	N38	41	54.0	E109	46	18.0
P06	N40	13	18.0	E119	10	42.0
P07	N38	06	30.0	E119	32	12.0
P08	N23	09	24.0	E114	30	6.0
P09	N38	15	0.0	E120	59	12.0
P10	N25	05	36.0	E118	37	6.0
